Name,Rating,Number of Ratings,Price,Winery,Wine style,Alcohol content,Grapes,Bold,Tannin,Sweet,Acidic,Country,Country_region,Beef,Pasta,Lamb,Poultry,Cheese,Fish,Seafood,Cured Meat,Veal,Pork,Mushrooms,"Rich fish (salmon, tuna etc)",Aperitif,Appetizers and snacks,Vegetarian,Shellfish,Blue cheese,Mature and hard cheese,Lean fish,"Game (deer, venison)",Goat cheese,Fruity desserts,Mild and soft cheese,Sweet desserts,Spicy food
The Stump Jump White Blend 2017,3.9,1037,11.99,d'Arenberg,Australian Riesling,12.5,"Riesling, Marsanne",44.259,46.29526972,9.05,53.555,Australia,South Australia / Fleurieu / McLaren Vale,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Bin 51 Riesling 2017,3.8,298,42.99,Penfolds,Australian Riesling,12.5,100 Riesling,42.4737,46.29526972,9.05,53.555,Australia,South Australia / Barossa / Eden Valley,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Valley Floor Shiraz 2017,4.1,1288,30.0,Langmeil,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,45.86,20.32,43.07,Australia,South Australia / Barossa,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Sparkling Shiraz 2016,3.9,153,16.31,Schild Estate,Australian Sparkling Shiraz,13.5,100 Shiraz/Syrah,61.73,46.29526972,9.05,53.555,Australia,South Australia / Barossa / Barossa Valley,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
The Lodge Hill Shiraz 2015,3.8,696,19.99,Jim Barry,Australian Shiraz,14.0,100 Merlot,85.0,47.6,18.03,45.43,Australia,South Australia / Mount Lofty Ranges / Clare Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Filius Cabernet Sauvignon 2019,3.9,545,21.84,Vasse Felix,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,65.28,55.53,3.75,54.46,Australia,Western Australia / South West Australia / Margaret River,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d'Arry's Original Shiraz - Grenache 2018,3.8,306,17.09,d'Arenberg,Australian Rhône Blend Red,14.5,"Shiraz/Syrah, Grenache",85.0,49.39,8.55,45.15,Australia,South Australia / Fleurieu / McLaren Vale,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Menzies Cabernet Sauvignon 2013,4.0,269,39.89,Yalumba,Australian Cabernet Sauvignon,14.0,100 Cabernet Sauvignon,66.81,55.92,11.51,51.89,Australia,South Australia / Limestone Coast / Coonawarra,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stonehorse Grenache - Shiraz (Mourvèdre) 2017,3.8,353,29.17,Kaesler,Australian Rhône Blend Red,14.0,100 Grenache,85.0,44.95,11.81,44.18,Australia,South Australia / Barossa / Barossa Valley,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Little Yering Shiraz 2016,3.8,84,20.0,Yering Station,Australian Shiraz,14.3,100 Shiraz/Syrah,85.0,50.31,22.19,42.83,Australia,Victoria / Port Phillip / Yarra Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
